Time;Latitude;Longitude;Accuracy;Cell ID;LAC;MCC;MNC;Color;Signal Strength;Type;
2014-08-05 18-11-16;45.04741034;7.67349661;14;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-11-21;45.04741842;7.67386737;13;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-11-26;45.0495824;7.6665008;40;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-11-26;45.04731722;7.67430294;15;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-11-36;45.04732294;7.67466305;19;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-11-41;45.04725007;7.67498334;20;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-11-46;45.04721573;7.67518398;16;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-11-51;45.04710616;7.67535078;11;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-11-53;45.0479855;7.6710359;37;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-11-56;45.04711648;7.67550121;13;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-12-01;45.04716342;7.67561372;14;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-12-11;45.04735517;7.67572823;13;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-12-13;45.0469758;7.6752451;45;6128;13041;222;88;#abff00;-73;UMTS;
2014-08-05 18-12-21;45.04738222;7.67574029;19;33396;13041;222;88;#ffcc00;-89;UMTS;
2014-08-05 18-12-26;45.04748316;7.67580228;24;33396;13041;222;88;#ffee00;-85;UMTS;
2014-08-05 18-12-31;45.04755845;7.67581893;19;33396;13041;222;88;#ffdd00;-87;UMTS;
2014-08-05 18-12-41;45.04764316;7.67578537;18;33396;13041;222;88;#ff8800;-97;UMTS;
2014-08-05 18-12-46;45.04767168;7.67573106;25;33396;13041;222;88;#ffcc00;-89;UMTS;
2014-08-05 18-12-50;45.0476944;7.6758789;39;33396;13041;222;88;#ffdd00;-87;UMTS;
2014-08-05 18-12-59;45.04783823;7.67596085;49;33396;13041;222;88;#ffcc00;-89;UMTS;
2014-08-05 18-13-05;45.04787259;7.67611283;30;33396;13041;222;88;#ffaa00;-93;UMTS;
2014-08-05 18-13-10;45.04789672;7.67619312;30;33396;13041;222;88;#ffbb00;-91;UMTS;
2014-08-05 18-13-10;45.0477173;7.676064;40;33396;13041;222;88;#ffbb00;-91;UMTS;
